####################################################################
# This layer map file is generated by XStream/strmout
#It can be used during Stream In to preserve original layer/purpose.
#
# OA        OA        Stream        Stream
# Layer        Purpose        LayerNum    Datatype
####################################################################

 nimplant  drawing  4  0 
 nwell  drawing  3  0 
 nwell  net  3  253 
 metal1  net  11  253 
 pwell  drawing  2  0 
 metal1  drawing  11  0 
 pwell  net  2  253 
 poly  drawing  9  0 
 contact  drawing  10  0 
 pimplant  drawing  5  0 
 active  drawing  1  0 
